id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,date,country,position,streams,artist_genres,duration
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,Back from the Edge,7oiJYvEJHsmYtrgviAVIBD,['James Arthur'],['4IWBUUAFIplrNtaOHcJPRM'],2.0,1.0,False,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.04299999999998,211467.0,4.0,2016.0,2016-10-28,,,,,,
55Am8neGJkdj2ADaM3aw5H,Train Wreck,Back from the Edge,7oiJYvEJHsmYtrgviAVIBD,['James Arthur'],['4IWBUUAFIplrNtaOHcJPRM'],6.0,1.0,False,0.311,0.485,6.0,-5.726,0.0,0.0365,0.701,0.0,0.0726,0.225,77.355,208827.0,4.0,2016.0,2016-10-28,,,,,,
3oqWr0jDWNXxWufNogGREp,Crimen,Ahí Vamos,7KHNK7l8peO0t95I1v7BmP,['Gustavo Cerati'],['1QOmebWGB6FdFtW7Bo3F0W'],12.0,1.0,False,0.537,0.502,4.0,-8.406,1.0,0.025,0.44,0.0709,0.1989999999999999,0.288,80.51100000000002,232027.0,4.0,2006.0,2006-04-04,,,,,,
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,TALKING IS HARD,3mNoFlD1wsoXfkljfFzExT,['WALK THE MOON'],['6DIS6PRrLS3wbnZsf7vYic'],3.0,1.0,False,0.578,0.866,1.0,-3.804,1.0,0.0619,0.00701,0.0,0.257,0.619,128.03799999999998,199080.0,4.0,2014.0,2014-12-02,,,,,,
59eluCMn0XbOWqeWQ91FTM,君はロックを聴かない,青春のエキサイトメント,0ct8ESCAYEpDGYJOndCfft,['Aimyon'],['5kVZa4lFUmAQlBogl1fkd6'],3.0,1.0,False,0.524,0.687,7.0,-4.039,1.0,0.0267,0.00135,0.0,0.1689999999999999,0.619,99.919,246307.0,4.0,2017.0,2017-09-12,,,,,,
1FpVJ7HpZInE2GvhVE2TwT,Legends Never Die,Legends Never Die,30gnisiaho0Y6KRWJ7gIaA,"['League of Legends', 'Against The Current']","['47mIJdHORyRerp4os813jD', '6yhD1KjhLxIETFF7vIRf8B']",1.0,1.0,False,0.498,0.598,4.0,-6.638,0.0,0.0377,0.0078599999999999,0.0,0.111,0.0573,140.078,235000.0,4.0,2017.0,2017-09-15,,,,,,
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,17,5VdyJkLe3yvOs0l4xXbWp0,['XXXTENTACION'],['15UsOTVnJzReFVN1VCnxy4'],2.0,1.0,True,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.4370000000000001,134.02100000000002,119133.0,4.0,2017.0,2017-08-25,,,,,,
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,17,5VdyJkLe3yvOs0l4xXbWp0,['XXXTENTACION'],['15UsOTVnJzReFVN1VCnxy4'],4.0,1.0,True,0.7340000000000001,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.1119999999999999,0.6890000000000001,129.953,95467.0,4.0,2017.0,2017-08-25,,,,,,
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),Without Warning,0MV1yCXcNNQBfwApqAVkH0,"['Offset', 'Metro Boomin']","['4DdkRBBYG6Yk9Ka8tdJ9BW', '0iEtIxbK0KxaSlF7G42ZOp']",3.0,1.0,True,0.88,0.428,9.0,-8.28,1.0,0.206,0.149,5.07e-05,0.114,0.3329999999999999,100.007,172800.0,4.0,2017.0,2017-10-30,,,,,,
5aHfGUxRec6c41luxkDqhX,ピースサイン,Bootleg,5ztm773WXmGJDkzGWH0YXT,['Kenshi Yonezu'],['1snhtMLeb2DYoMOcVbb8iB'],3.0,1.0,False,0.593,0.935,10.0,-3.853,0.0,0.0684,0.00221,0.0,0.315,0.618,100.003,238533.0,4.0,2017.0,2017-11-01,,,,,,
630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,Rewrite The Stars,0mRqi6mOvyVVVEIfFFfWXU,"['Zac Efron', 'Zendaya']","['6U1dBXJhC8gXFjamvFTmHg', '6sCbFbEjbYepqswM1vWjjs']",1.0,1.0,False,0.684,0.619,10.0,-7.005,1.0,0.0386,0.0716,0.0,0.122,0.284,125.046,217440.0,4.0,2017.0,2017-11-17,,,,,,
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,Sa Ngalan Ng Pag-Ibig,7xconhHQKj7Be4P2KvUmFz,['December Avenue'],['4qFxP3qN9GsnZDOkAE6x2m'],1.0,1.0,False,0.518,0.762,7.0,-3.907,1.0,0.0305,0.0851,0.0,0.148,0.271,155.985,285138.0,4.0,2017.0,2017-04-29,,,,,,
