storm,pr_max,pr_max_tc,t2m_max_pr,pr_int,pr_int_tc,pr_sum,sc_max,sm_prev,sm_max,t2m_min_pr,t2m_mean_pr,MltnInd,Dd_km-1,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD,MnRvrSD
3,0.788964727305882,0.10061280799928327,25.7072769594118,0.11659142829276012,0.014868333885139228,1.5156885678058816,0.0,0.122538201775,0.18155078745,18.0851991323529,24.23601055045249,0.64,0.00232807130755,26.76,0.390303644601196,4816455.335406943,21.7,18.96371876820001
0,3.090444446,0.2971637482022692,21.7146511075,0.5565024027587713,0.05351085993518141,52.3112258593245,40.0,0.110518662,0.431045,12.718682766,23.203698555801058,0.74,0.003122014324937,24.59,0.221901896857548,1437285.705584646,20.6,19.0793487069695
1,0.1538661755,0.01479510479222773,27.9077244,0.027077186930895832,0.0026036249800811028,0.6498524863415,0.0,0.112796007,0.247651311,17.28032775,23.971568602083334,0.74,0.003122014324937,24.59,0.221901896857548,1437285.705584646,20.6,19.0793487069695
2,2.417004105,0.23240864277360032,14.312849045,0.5411973605134259,0.05203919338381934,58.449314935450005,66.6666666666667,0.112169142,0.42697435,8.064573,13.562564322985184,0.74,0.003122014324937,24.59,0.221901896857548,1437285.705584646,20.6,19.0793487069695
3,0.526707381,0.05064589973340058,29.4641666,0.11221425272307693,0.010790036360002,1.4587852854,0.0,0.1094791776,0.1844490457,23.949001315,29.335667979615383,0.74,0.003122014324937,24.59,0.221901896857548,1437285.705584646,20.6,19.0793487069695
0,3.017160416,0.29011800082855344,21.16708374,0.5933251417138298,0.05705175735519608,55.7725633211,0.0,0.110518662,0.431045,11.723431587,22.496953895363834,0.93,0.002580993666951,28.22,0.221903315600896,1146306.8937914344,21.7,21.51132446415191
1,0.099534236,0.009570811485257612,26.7403603,0.018286889902041668,0.0017583937239856028,0.438885357649,0.0,0.112796007,0.247651311,16.7884521,23.242942616666667,0.93,0.002580993666951,28.22,0.221903315600896,1146306.8937914344,21.7,21.51132446415191
2,2.28587937,0.219800959021873,13.41343212,0.5372470103694444,0.051659509972671054,58.0226771199,50.0,0.112169142,0.42697435,7.564573,12.722674043314814,0.93,0.002580993666951,28.22,0.221903315600896,1146306.8937914344,21.7,21.51132446415191
3,0.5372001529,0.05165500434702151,28.6762733,0.11128123532307692,0.010700355655754064,1.4466560592,0.0,0.1094791776,0.1844490457,23.33550835,28.774136323076924,0.93,0.002580993666951,28.22,0.221903315600896,1146306.8937914344,21.7,21.51132446415191
0,4.22302038688771,1.2687609019846615,12.4136470010551,0.7028553966048301,0.2111653189574912,66.06840728085403,100.0,0.120322420550847,0.432922368728814,4.27324650044068,13.965062229425453,0.22,0.002734047605473,20.73,2.166329230284417,127534683.89156212,15.4,7.601114824454508
1,0.354095817266949,0.10638426702829837,18.9781002052966,0.037744278950169755,0.01133986128844407,1.8117253896081482,0.43731778425656,0.121311134771186,0.221548930661017,9.12963123305085,15.79088077212924,0.22,0.002734047605473,20.73,2.166329230284417,127534683.89156212,15.4,7.601114824454508
